"COUNTRY","Country","BIRTH","Place of birth","GENDER","Gender","RATE","Rate","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2000","2000","PC","Percentage","0","Units",,,74,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2001","2001","PC","Percentage","0","Units",,,73.9,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2002","2002","PC","Percentage","0","Units",,,74,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2003","2003","PC","Percentage","0","Units",,,74.1,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2004","2004","PC","Percentage","0","Units",,,75.6,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2005","2005","PC","Percentage","0","Units",,,76.7,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2006","2006","PC","Percentage","0","Units",,,77.1,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2007","2007","PC","Percentage","0","Units",,,77.8,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2008","2008","PC","Percentage","0","Units",,,78.6,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2009","2009","PC","Percentage","0","Units",,,76.7,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2010","2010","PC","Percentage","0","Units",,,78,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2011","2011","PC","Percentage","0","Units",,,79.3,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2012","2012","PC","Percentage","0","Units",,,78.6,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2013","2013","PC","Percentage","0","Units",,,77.8,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2014","2014","PC","Percentage","0","Units",,,77.7,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2015","2015","PC","Percentage","0","Units",,,78.8,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2016","2016","PC","Percentage","0","Units",,,78.8,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2017","2017","PC","Percentage","0","Units",,,79.2,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,79.9,,
"AUS","Australia","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,79.7,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2000","2000","PC","Percentage","0","Units",,,6.5,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2001","2001","PC","Percentage","0","Units",,,7.1,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2002","2002","PC","Percentage","0","Units",,,6.8,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2003","2003","PC","Percentage","0","Units",,,6.4,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2004","2004","PC","Percentage","0","Units",,,5.3,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2005","2005","PC","Percentage","0","Units",,,5.2,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2006","2006","PC","Percentage","0","Units",,,4.8,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2007","2007","PC","Percentage","0","Units",,,4.3,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2008","2008","PC","Percentage","0","Units",,,4.2,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2009","2009","PC","Percentage","0","Units",,,6.5,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2010","2010","PC","Percentage","0","Units",,,5.1,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2011","2011","PC","Percentage","0","Units",,,4.6,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2012","2012","PC","Percentage","0","Units",,,4.9,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2013","2013","PC","Percentage","0","Units",,,5.8,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2014","2014","PC","Percentage","0","Units",,,5.7,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2015","2015","PC","Percentage","0","Units",,,5.8,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2016","2016","PC","Percentage","0","Units",,,5.4,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2017","2017","PC","Percentage","0","Units",,,5.2,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,4.7,,
"AUS","Australia","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,4.9,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2000","2000","PC","Percentage","0","Units",,,79.1,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2001","2001","PC","Percentage","0","Units",,,79.6,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2002","2002","PC","Percentage","0","Units",,,79.4,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2003","2003","PC","Percentage","0","Units",,,79.2,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2004","2004","PC","Percentage","0","Units",,,79.8,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2005","2005","PC","Percentage","0","Units",,,80.8,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2006","2006","PC","Percentage","0","Units",,,81,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2007","2007","PC","Percentage","0","Units",,,81.3,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2008","2008","PC","Percentage","0","Units",,,82,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2009","2009","PC","Percentage","0","Units",,,82,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2010","2010","PC","Percentage","0","Units",,,82.2,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2011","2011","PC","Percentage","0","Units",,,83.1,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2012","2012","PC","Percentage","0","Units",,,82.7,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2013","2013","PC","Percentage","0","Units",,,82.6,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2014","2014","PC","Percentage","0","Units",,,82.4,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2015","2015","PC","Percentage","0","Units",,,83.6,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2016","2016","PC","Percentage","0","Units",,,83.2,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2017","2017","PC","Percentage","0","Units",,,83.6,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,83.8,,
"AUS","Australia","FB","Foreign-born","MEN","Men","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,83.7,,
